split,model,scope,accuracy,roc_auc,log_loss,brier_score,expected_calibration_error,precision,recall,confusion_matrix,symmetry_gap_match_count,symmetry_gap_mean,symmetry_gap_median,symmetry_gap_p95,symmetry_gap_max
validation_2024,rank_baseline,all,0.6350966107063668,0.6350966107063667,13.152451284213798,0.3649033892936332,0.3649033892936332,0.6350966107063668,0.6350966107063668,"[[2005, 1152], [1152, 2005]]",3157,0.0,0.0,0.0,0.0
validation_2024,rank_baseline,odds_available,0.63413715146948,0.63413715146948,13.187033700389131,0.36586284853052,0.36586284853052,0.63413715146948,0.63413715146948,"[[1683, 971], [971, 1683]]",3157,0.0,0.0,0.0,0.0
validation_2024,rank_baseline,odds_missing,0.6401590457256461,0.6401590457256461,12.969982631073965,0.35984095427435386,0.3598409542743539,0.6401590457256461,0.6401590457256461,"[[322, 181], [181, 322]]",3157,0.0,0.0,0.0,0.0
validation_2024,market_baseline,all,0.6536268609439341,0.7273021253181485,0.6036519848788652,0.20926285618802987,0.0073781301338030165,0.6319368879216539,0.7358251504592968,"[[1804, 1353], [834, 2323]]",3157,3.527252751659905e-17,0.0,2.220446049250313e-16,3.3306690738754696e-16
validation_2024,market_baseline,odds_available,0.6827430293896006,0.752356923532976,0.5866903859988413,0.20154213902999635,0.008776472054414529,0.6816479400749064,0.6857573474001507,"[[1804, 850], [834, 1820]]",3157,3.527252751659905e-17,0.0,2.220446049250313e-16,3.3306690738754696e-16
validation_2024,market_baseline,odds_missing,0.5,0.5,0.6931471805599454,0.25,0.0,0.5,1.0,"[[0, 503], [0, 503]]",3157,3.527252751659905e-17,0.0,2.220446049250313e-16,3.3306690738754696e-16
validation_2024,logistic_regression,all,0.6737408932530884,0.7403865632270186,0.597979635571394,0.2061164489537575,0.006728087517867456,0.6737408932530884,0.6737408932530884,"[[2127, 1030], [1030, 2127]]",3157,5.2955950257350976e-14,4.163336342344337e-14,1.459721232777155e-13,2.9531932455029164e-13
validation_2024,logistic_regression,odds_available,0.6774679728711379,0.7471624352827398,0.5917383975147634,0.20360603408210276,0.01240240571860803,0.6774679728711379,0.6774679728711379,"[[1798, 856], [856, 1798]]",3157,5.2955950257350976e-14,4.163336342344337e-14,1.459721232777155e-13,2.9531932455029164e-13
validation_2024,logistic_regression,odds_missing,0.6540755467196819,0.7226501824045786,0.6309105417389836,0.21936225624873107,0.06674584711802067,0.6540755467196819,0.6540755467196819,"[[329, 174], [174, 329]]",3157,5.2955950257350976e-14,4.163336342344337e-14,1.459721232777155e-13,2.9531932455029164e-13
validation_2024,random_forest,all,0.6851441241685144,0.7509903278423872,0.5907985492794379,0.20278750749215455,0.023384953238108474,0.6851441241685144,0.6851441241685144,"[[2163, 994], [994, 2163]]",3157,0.02192680761051048,0.017683818618029257,0.05599723451692751,0.1292151281667535
validation_2024,random_forest,odds_available,0.6831198191409193,0.7490186997885775,0.5914860067856522,0.20330143513561869,0.018437350835794522,0.6831198191409193,0.6831198191409193,"[[1813, 841], [841, 1813]]",3157,0.02192680761051048,0.017683818618029257,0.05599723451692751,0.1292151281667535
validation_2024,random_forest,odds_missing,0.6958250497017893,0.7628661431016288,0.587171288401719,0.20007584950854837,0.0494901953369978,0.6958250497017893,0.6958250497017893,"[[350, 153], [153, 350]]",3157,0.02192680761051048,0.017683818618029257,0.05599723451692751,0.1292151281667535
validation_2024,xgboost,all,0.679125752296484,0.7526754478862454,0.5848867711815322,0.20106505457185833,0.01229169882130673,0.679125752296484,0.679125752296484,"[[2144, 1013], [1013, 2144]]",3157,0.01593231772641083,0.01188516616821289,0.04429923892021176,0.13174141943454742
validation_2024,xgboost,odds_available,0.6763376036171816,0.7485961955308817,0.5882986030717661,0.20249122901986608,0.009427267180428663,0.6763376036171816,0.6763376036171816,"[[1795, 859], [859, 1795]]",3157,0.01593231772641083,0.01188516616821289,0.04429923892021176,0.13174141943454742
validation_2024,xgboost,odds_missing,0.6938369781312127,0.7748301443822156,0.5668847794585095,0.19354007050622665,0.02740541964613835,0.6938369781312127,0.6938369781312127,"[[349, 154], [154, 349]]",3157,0.01593231772641083,0.01188516616821289,0.04429923892021176,0.13174141943454742
validation_2024,lightgbm,all,0.6769084573962623,0.7523877885134713,0.5850076647331531,0.20123232926233378,0.00921918765220412,0.6769084573962623,0.6769084573962623,"[[2137, 1020], [1020, 2137]]",3157,0.013124789972581919,0.009422377862629672,0.037254048314204403,0.11558549334659163
validation_2024,lightgbm,odds_available,0.6737000753579503,0.7485287595354497,0.589158629196236,0.2027326512817943,0.006296532108407919,0.6737000753579503,0.6737000753579503,"[[1788, 866], [866, 1788]]",3157,0.013124789972581919,0.009422377862629672,0.037254048314204403,0.11558549334659163
validation_2024,lightgbm,odds_missing,0.6938369781312127,0.7727195475259773,0.5631057568106441,0.1933161172550807,0.03910644062256515,0.6938369781312127,0.6938369781312127,"[[349, 154], [154, 349]]",3157,0.013124789972581919,0.009422377862629672,0.037254048314204403,0.11558549334659163
retrospective_2025,rank_baseline,all,0.6368402656413842,0.6368402656413841,13.089603590105808,0.36315973435861587,0.3631597343586158,0.6368402656413842,0.6368402656413842,"[[1822, 1039], [1039, 1822]]",2861,0.0,0.0,0.0,0.0
retrospective_2025,rank_baseline,odds_available,0.6448,0.6448,12.80270568381441,0.3552,0.35519999999999996,0.6448,0.6448,"[[1612, 888], [888, 1612]]",2861,0.0,0.0,0.0,0.0
retrospective_2025,rank_baseline,odds_missing,0.5817174515235457,0.5817174515235457,15.07643119600191,0.4182825484764543,0.4182825484764543,0.5817174515235457,0.5817174515235457,"[[210, 151], [151, 210]]",2861,0.0,0.0,0.0,0.0
retrospective_2025,market_baseline,all,0.6509961551904928,0.7171833578670892,0.613104378013503,0.2134084951727722,0.01637277840323825,0.6335807050092764,0.7161831527437958,"[[1676, 1185], [812, 2049]]",2861,3.806811559445224e-17,0.0,2.220446049250313e-16,3.3306690738754696e-16
retrospective_2025,market_baseline,odds_available,0.6728,0.7345298399999999,0.6015461973257968,0.2081246818757205,0.018737007604665873,0.6719745222929936,0.6752,"[[1676, 824], [812, 1688]]",2861,3.806811559445224e-17,0.0,2.220446049250313e-16,3.3306690738754696e-16
retrospective_2025,market_baseline,odds_missing,0.5,0.5,0.6931471805599453,0.25,0.0,0.5,1.0,"[[0, 361], [0, 361]]",2861,3.806811559445224e-17,0.0,2.220446049250313e-16,3.3306690738754696e-16
retrospective_2025,logistic_regression,all,0.6714435512058721,0.7247541055506558,0.6135159707702839,0.21244909642286605,0.02977870077062752,0.6714435512058721,0.6714435512058721,"[[1921, 940], [940, 1921]]",2861,5.134112095421416e-14,3.8746783559417963e-14,1.4210854715202004e-13,3.3928415632544784e-13
retrospective_2025,logistic_regression,odds_available,0.6728,0.7286633600000001,0.609674778790926,0.21100319148991403,0.032571420760646834,0.6728,0.6728,"[[1682, 818], [818, 1682]]",2861,5.134112095421416e-14,3.8746783559417963e-14,1.4210854715202004e-13,3.3928415632544784e-13
retrospective_2025,logistic_regression,odds_missing,0.6620498614958449,0.7139217777641362,0.6401170232589115,0.22246228847932023,0.07402954039491288,0.6620498614958449,0.6620498614958449,"[[239, 122], [122, 239]]",2861,5.134112095421416e-14,3.8746783559417963e-14,1.4210854715202004e-13,3.3928415632544784e-13
retrospective_2025,random_forest,all,0.6784341139461727,0.73343965374113,0.6042030040949576,0.20885855452491947,0.02237440139056327,0.6784341139461727,0.6784341139461727,"[[1941, 920], [920, 1941]]",2861,0.022144147045219123,0.01856092422531397,0.055735154489074734,0.12015841928109716
retrospective_2025,random_forest,odds_available,0.6732,0.7272801600000001,0.6085853387625946,0.21084551374504312,0.023455407667272502,0.6732,0.6732,"[[1683, 817], [817, 1683]]",2861,0.022144147045219123,0.01856092422531397,0.055735154489074734,0.12015841928109716
retrospective_2025,random_forest,odds_missing,0.7146814404432132,0.7788000399014741,0.5738544260642309,0.1950984491224012,0.059174939132046855,0.7146814404432132,0.7146814404432132,"[[258, 103], [103, 258]]",2861,0.022144147045219123,0.01856092422531397,0.055735154489074734,0.12015841928109716
retrospective_2025,xgboost,all,0.6731911918909472,0.7397801503447452,0.5968079213510474,0.20630672493206254,0.011285474574032532,0.6731911918909472,0.6731911918909472,"[[1926, 935], [935, 1926]]",2861,0.014956852566347968,0.011071830987930298,0.04360654950141907,0.15687063336372375
retrospective_2025,xgboost,odds_available,0.6688,0.7322457599999999,0.6046628916584654,0.20928940468811758,0.015079381532967085,0.6688,0.6688,"[[1672, 828], [828, 1672]]",2861,0.014956852566347968,0.011071830987930298,0.04360654950141907,0.15687063336372375
