experiment,fold_count,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,holdout_accuracy,holdout_roc_auc,holdout_log_loss,holdout_brier_score
rank_baseline,5.0,0.6358544330917282,0.004802112487276298,0.6358544330917282,0.004802112487276284,13.12513659682532,0.17308567802693806,0.3641455669082719,0.004802112487276302,0.6368402656413842,0.6368402656413841,13.089603590105808,0.36315973435861587
market_baseline,5.0,0.6582751896472573,0.005346863572677354,0.7333509895202956,0.005937139130419193,0.598658406037658,0.003966649006317721,0.20730935841413595,0.001850299385882338,0.6509961551904928,0.7171714463000292,0.6131043780135031,0.2134084951727722
market_only_lightgbm,5.0,0.6578336408625519,0.005230917176616853,0.7315963695870839,0.006810306371810271,0.6004109834077879,0.004715388773474584,0.20791710442775274,0.002149316834382948,0.6497728067109402,0.7163373922659845,0.615087921526735,0.21380965053460324
tennis_only_lightgbm,5.0,0.661429492746948,0.0033196339344112027,0.7325014229636926,0.008320658124161743,0.6014694041099953,0.007164557269044822,0.20843449926158147,0.0029668267061421566,0.659559594547361,0.7214968111818706,0.612037978018126,0.21281375313173626
full_lightgbm,5.0,0.6838135320388801,0.00797867106573252,0.7573195627331778,0.00987578349401898,0.5800663450659567,0.008828146265328216,0.19938175848334222,0.003711921582106117,0.6773855295351275,0.7395145529417845,0.5970040765931082,0.20643010383028532
